"","NearestGene_mgi_symbol","feature","Chr","Start","End","width","strand","peak","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","peakNames"
"1","Gnaz","ENSMUSG00000040009","chr10",74939416,74939609,194,"*","001",74967178,75016907,"+","upstream",-27762,27569,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X004469""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X004470""; ""SolubleNeg_unqPks__SolubleNeg__X02607"")"
"2","Gm24433","ENSMUSG00000077268","chr10",95910045,95911342,1298,"*","003",95898604,95898735,"+","downstream",11441,11310,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X03895""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X006467""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X006457"")"
"3","BC048403","ENSMUSG00000053684","chr10",121781159,121781494,336,"*","004",121739938,121752878,"+","downstream",41221,28281,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X000752""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X000771""; ""SolubleNeg_unqPks__SolubleNeg__X00440"")"
"4","Gls","ENSMUSG00000026103","chr1",52301340,52301519,180,"*","005",52163449,52233232,"-","upstream",-68108,68108,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X23919""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X039084""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X039648"")"
"5","Pard3bos1","ENSMUSG00000085842","chr1",61967250,61967433,184,"*","006",61767416,61851540,"-","upstream",-115710,115710,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X046115""; ""SolubleNeg_unqPks__SolubleNeg__X27786""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X045577"")"
"6","Catip","ENSMUSG00000073650","chr1",74367080,74368446,1367,"*","007",74362109,74369321,"+","inside",4971,875,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X052410""; ""SolubleNeg_unqPks__SolubleNeg__X32007""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X053031"")"
"7","Otos","ENSMUSG00000044055","chr1",92652570,92653470,901,"*","008",92644219,92648841,"-","upstream",-3729,3729,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X061829""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X060966""; ""SolubleNeg_unqPks__SolubleNeg__X37123"")"
"8","En1","ENSMUSG00000058665","chr1",120602808,120603542,735,"*","009",120602419,120609296,"+","inside",389,389,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X009911""; ""SolubleNeg_unqPks__SolubleNeg__X06037""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X009851""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X009912""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X009852"")"
"9","Prdx6","ENSMUSG00000026701","chr1",161214564,161214828,265,"*","010",161240113,161251219,"-","downstream",36655,25285,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X015033""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X015136""; ""SolubleNeg_unqPks__SolubleNeg__X09178"")"
"10","Gm24405","ENSMUSG00000064967","chr1",178655707,178655941,235,"*","011",178636906,178637071,"+","downstream",18801,18636,"NearestLocation","c(""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X017864""; ""SolubleNeg_unqPks__SolubleNeg__X11012""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X017974"")"
"11","Capn8","ENSMUSG00000038599","chr1",182560396,182560604,209,"*","012",182565008,182632352,"+","upstream",-4612,4404,"NearestLocation","c(""SolubleNeg_unqPks__SolubleNeg__X11474""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X018562""; ""CD3CD28Neg_unqPks__CD3CD28Neg__X018684"")"
"12","Cr1l","ENSMUSG00000016481","chr1",195113709,195113929,221,"*","013",195103790,195131570,"-","inside",17861,9919,"NearestLocation","c(""CD3CD28Neg_unqPks__CD3CD28Neg__X020381""; ""SodiumButyrateNeg_unqPks__SodiumButyrateNeg__X020220""; ""SolubleNeg_unqPks__SolubleNeg__X12490"")"
